le1 Lenin Vladimir 1990 Novosibirsk 10
st1 Stalin Iosif 1991 Omsk 30
and1 Andropov Kpss 1990 Moscow 30
ch Chernenko Kpss 1991 Leningrad 12
mr1 Markov Iosif 2000 Samara 10
lr1 Lermontov Vladimir 2000 Kirov 23
lu Lunachev Kpss 2001 Surgut 12
n1 Novikov Leopold 2002 Moscow 23
z1 Zlobin Leonard 1999 Samara 45
ku Kuprinov Vladimir 2010 Stavropol 10
st2 Stalin Kpss 1945 Stalingrad 234
and2 Andropov Ruben 1999 Omsk 30
mr2 Markov Roman 2003 Samara 12
and3 Andropov Kpss 1990 Leningrad 30
n2 Novikov Stepan 1999 Omsk 10
z2 Zlobin Roman 1990 Surgut 21
ne Neverov Leonid 1999 Minsk 34
fe Federov Fedor 2003 Kursk 12
